output-b2,,start-b2,time1-b2,time2-b2
1679934687.895,1679934689.152,1679934686.765,18.146,0.942
1679934711.450,1679934712.750,1679934710.377,18.314,1.292
1679934734.582,1679934735.862,1679934733.547,18.252,1.018
1679934758.050,1679934759.307,1679934757.017,18.160,1.496
1679934781.439,1679934782.739,1679934780.421,18.202,1.424
1679934804.585,1679934805.867,1679934803.567,18.203,1.118
1679934827.952,1679934829.237,1679934826.919,18.272,1.304
1679934851.294,1679934852.671,1679934850.236,18.174,1.353
1679934875.943,1679934877.397,1679934874.877,18.118,2.422
,,,,
t1-b2,t2-b2,action-b2,R-b2,total
18.146,0.942,1.130,1.257,21.475
18.314,1.292,1.073,1.300,21.979
18.252,1.018,1.035,1.280,21.585
18.160,1.496,1.034,1.257,21.946
18.202,1.424,1.018,1.300,21.944
18.203,1.118,1.018,1.283,21.622
18.272,1.304,1.033,1.285,21.894
18.174,1.353,1.058,1.377,21.962
18.118,2.422,1.066,1.454,23.060
